23:05:16.538 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.4.1.Final
23:05:16.548 [main] INFO  com.toys.acb.UserBusinessApplication - Starting UserBusinessApplication using Java 15.0.2 on DESKTOP-2D7JFDC with PID 7536 (F:\Program\java_work\ACB\acb_business\target\classes started by CKD in F:\Program\java_work\ACB)
23:05:16.550 [main] INFO  com.toys.acb.UserBusinessApplication - No active profile set, falling back to default profiles: default
23:05:18.241 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
23:05:18.262 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
23:05:18.385 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 0 Redis repository interfaces.
23:05:20.720 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 12358 (http)
23:05:20.823 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-12358"]
23:05:20.828 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:05:20.828 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
23:05:21.574 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:05:21.574 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4903 ms
23:05:23.066 [main] WARN  org.apache.ibatis.io.ResolverUtil - Could not examine class 'com/toys/ACB/entity/Bill.class' due to a java.lang.NoClassDefFoundError with message: com/toys/acb/entity/Bill (wrong name: com/toys/ACB/entity/Bill)
23:05:23.066 [main] WARN  org.apache.ibatis.io.ResolverUtil - Could not examine class 'com/toys/ACB/entity/SysRole.class' due to a java.lang.NoClassDefFoundError with message: com/toys/acb/entity/SysRole (wrong name: com/toys/ACB/entity/SysRole)
23:05:23.066 [main] WARN  org.apache.ibatis.io.ResolverUtil - Could not examine class 'com/toys/ACB/entity/SysUser.class' due to a java.lang.NoClassDefFoundError with message: com/toys/acb/entity/SysUser (wrong name: com/toys/ACB/entity/SysUser)
23:05:23.066 [main] WARN  org.apache.ibatis.io.ResolverUtil - Could not examine class 'com/toys/ACB/entity/SysUserRole.class' due to a java.lang.NoClassDefFoundError with message: com/toys/acb/entity/SysUserRole (wrong name: com/toys/ACB/entity/SysUserRole)
23:05:23.066 [main] WARN  org.apache.ibatis.io.ResolverUtil - Could not examine class 'com/toys/ACB/entity/Type.class' due to a java.lang.NoClassDefFoundError with message: com/toys/acb/entity/Type (wrong name: com/toys/ACB/entity/Type)
23:05:23.405 [main] WARN  org.apache.ibatis.io.ResolverUtil - Could not examine class 'com/toys/ACB/mapper/BillDetailMapper.class' due to a java.lang.NoClassDefFoundError with message: com/toys/acb/mapper/BillDetailMapper (wrong name: com/toys/ACB/mapper/BillDetailMapper)
23:05:23.405 [main] WARN  org.apache.ibatis.io.ResolverUtil - Could not examine class 'com/toys/ACB/mapper/BillDynamicSqlSupport.class' due to a java.lang.NoClassDefFoundError with message: com/toys/acb/mapper/BillDynamicSqlSupport (wrong name: com/toys/ACB/mapper/BillDynamicSqlSupport)
